At what age did you first begin (at least semiregularly) masturbating?,How old were you when you first experienced sexual interest in bodily-secretions? (i2kfd9),How old were you when you first experienced interest in specific body parts (not including standard sexual body parts like breasts or genitals)? (71x4a7w),How old were you when you first experienced sexual interest in bondage? (tdxu7cp),How old were you when you first experienced interest in clothing related sexual interests? (4kl54pc),How old were you when you first experienced interest in eagerness related sexual interests? (twg3prj),How old were you when you first experienced sexual interest in exhibitionism or voyeurism? (xwggkkr),How old were you when you first experienced interest in genderplay related sexual interests? (3yixh1c),How old were you when you first experienced sexual interest in multiple partners or related scenarios? (hz27wpx),How old were you when you first experienced interest in gentleness related sexual interests? (j6jn9rl),How old were you when you first experienced interest in incest? (9f6vg9x),How old were you when you first experienced sexual interest in nonconsent? (bx4o14o),How old were you when you first experienced sexual interest in power dynamics? (enrhyeb),How old were you when you first experienced sexual interest in mythical creatures? (xfj2rdq),How old were you when you first experienced sexual interest in your preferred object/objects? (3vnq7jt),How old were you when you first experienced sexual interest in specific roles? (ce5t067),How old were you when you first experienced interest in pregnancy related sexual interests? (c2yvk62),How old were you when you first experienced interest in sensory related sexual interests? (yg5rwaa),How old were you when you first experienced interest in scenarios involving sex toys? (iob8ewb),How old were you when you first experienced interest in transformation related sexual interests? (ju7swdc),How old were you when you first experienced interest in abnormal body/body part-related things? (si89mua),How old were you when you first experienced interest in age-related sexual interests? (489pmk6),How old were you when you first experienced interest in brutality-related sexual interests? (5rsjhm2),How old were you when you first experienced interest in humiliation related sexual interests? (jebtk3s),How old were you when you first experienced sexual interest in mental alteration? (nesc17f),How old were you when you first experienced interest in vore related sexual interests? (58x0gp5),How old were you when you first experienced interest in bestiality/creatures-related sexual interests? (w3xlgsv),How old were you when you first experienced sexual interest in sadomasochism? (zh8c32k),How old were you when you first experienced interest in creepy/horror related sexual interests? (y9cxruq),How old were you when you first experienced interest in dirtiness related sexual interests? (l7wbfjh),How old were you when you first experienced interest in your appearance-based sexual interests? (6qqg60a),At what age did you begin watching porn or reading erotic content at least semiregularly? (ugf1hyy)
,,13.5,,11.5,13.5,,,,13.5,,,,,,,,,,,13.5,,,,13.5,,,,,,13.5,13.5
,,,,11.5,,,,9.5,9.5,,,,,7.5,7.5,,,9.5,,,,,13.5,,,,,,,,15.5
,,11.5,,,,,,,,13.5,,,,13.5,13.5,11.5,,13.5,,,15.5,,,,,,,,,13.5,13.5
,15.5,,,15.5,15.5,,,,,,,,,,15.5,,,,,,,,,,,,,,,,13.5
,,,,7.5,13.5,13.5,,,,,,,,,13.5,,,,,,,,,,,,,,,,13.5
,,,,,,,,,15.5,,,,,,,,,,,,17.5,,,,,,,,,,
,,11.5,,15.5,13.5,,,,11.5,,,15.5,15.5,,7.5,15.5,15.5,,,11.5,15.5,,,,,,,,,9.5,7.5
,17.5,13.5,,,15.5,15.5,,,28.0,,,13.5,,,13.5,,,,,,,,,,,,,,,15.5,13.5
,,,,,,,,,,,,,,,,,15.5,,,,,,,,,,,,,,13.5
,,,,,15.5,,,,,,17.5,15.5,,15.5,,,,,,,15.5,,,15.5,,13.5,,,,,22.0
,,,7.5,5.5,13.5,,,,2.0,,13.5,11.5,,13.5,13.5,,,13.5,,,,,13.5,13.5,,,13.5,,,13.5,11.5
,,13.5,,13.5,13.5,11.5,,,13.5,,,,,,,,,,,,,,,,,,,,,,7.5
,13.5,,,,11.5,11.5,,11.5,,,,11.5,,,,,13.5,,,,,,,,,,13.5,,,11.5,22.0
,,13.5,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,13.5,13.5
,,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
,,13.5,,13.5,,,,,11.5,,,,,,,,,,,11.5,,,,,11.5,,,,,,11.5
,,13.5,,,,,,,,,13.5,,13.5,,13.5,,,,,,,,,,,,,,,,22.0
,,,15.5,15.5,15.5,,,,,,15.5,15.5,,,,,,15.5,,,,,,,,,15.5,,,,13.5
,,,,,,,,,,,13.5,13.5,,,,,,,,,,,,,,,,,,,11.5
,,,,15.5,15.5,15.5,,,,,,,,,,,,15.5,,,,,,,,,,,,,13.5
,,,15.5,11.5,15.5,,,,15.5,,,,,,,,,,,,15.5,,,15.5,,,,,,15.5,17.5
,,,,9.5,13.5,11.5,,,,,,,,,13.5,,,,,,,,,,,,,,,,13.5
,,15.5,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,11.5,9.5
,,15.5,,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,11.5,13.5
,,13.5,9.5,9.5,11.5,,13.5,,11.5,,,13.5,,,9.5,,,13.5,,9.5,9.5,,13.5,13.5,,,9.5,,,9.5,11.5
,,,13.5,7.5,9.5,7.5,,,,,,,7.5,,,,,13.5,,,,,,,,,,,,,11.5
,,15.5,13.5,,13.5,13.5,,13.5,13.5,15.5,13.5,13.5,,,,,,13.5,,,15.5,,13.5,,,,13.5,,,15.5,9.5
,15.5,,13.5,15.5,15.5,13.5,,11.5,,,,,,,,,,11.5,,,,,,15.5,,,13.5,,,,9.5
,,7.5,,7.5,7.5,,,,,7.5,,,,,,,,,,,9.5,,,,,,,,,9.5,9.5
,15.5,,,15.5,15.5,,,15.5,,,,,15.5,,,,,,,,,,,,,,,,,13.5,15.5
,11.5,9.5,13.5,,13.5,13.5,13.5,11.5,11.5,,9.5,11.5,13.5,13.5,11.5,9.5,11.5,11.5,9.5,11.5,,11.5,13.5,11.5,,,,,,11.5,15.5
,15.5,,15.5,13.5,15.5,15.5,,,,,,15.5,,,,,,,,,,,,,,,,,,5.5,13.5
,,,15.5,15.5,15.5,,,15.5,,15.5,13.5,15.5,11.5,,11.5,,,13.5,17.5,,15.5,15.5,15.5,15.5,,15.5,,15.5,,15.5,13.5
,,,,15.5,15.5,,,,15.5,,,,,,,,,,,,,,,,,,15.5,,,,
,,13.5,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,11.5,13.5
,,15.5,,,15.5,,,,15.5,,,,,,,,,,,,,,,,,,,,,15.5,15.5
,13.5,11.5,13.5,11.5,13.5,9.5,11.5,11.5,,11.5,15.5,13.5,,11.5,13.5,9.5,11.5,11.5,,9.5,13.5,13.5,11.5,,9.5,,13.5,,13.5,11.5,11.5
,,,13.5,13.5,11.5,13.5,13.5,13.5,13.5,15.5,13.5,15.5,15.5,,15.5,,,,13.5,,13.5,,,,,,,,,13.5,9.5
,,,,13.5,13.5,13.5,,,13.5,,,13.5,,,,,,,,,,,,,,,,,,13.5,13.5
,,,,15.5,,,,15.5,,,,,,,15.5,,,15.5,,,,,,,,,,,,7.5,7.5
,,9.5,13.5,9.5,13.5,9.5,15.5,,9.5,11.5,11.5,13.5,9.5,,11.5,,9.5,9.5,9.5,,,,15.5,13.5,,13.5,15.5,,,13.5,9.5
,15.5,7.5,11.5,7.5,11.5,11.5,11.5,11.5,7.5,11.5,9.5,9.5,11.5,7.5,7.5,,7.5,7.5,11.5,,7.5,11.5,11.5,11.5,,,11.5,,,11.5,11.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7.5,,,7.5,,,,7.5,,,7.5,,,,,,,,,,,,,,,,,,,7.5
,,,,11.5,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,13.5
,,,,,11.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.5
,13.5,11.5,,13.5,,,13.5,,,,,,,,,,,,,,,,,,,,,,,13.5,13.5
,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0
,,,,15.5,15.5,,13.5,,,15.5,,,,,13.5,,,,,,,,,,,,,,,,11.5
,15.5,17.5,15.5,13.5,,,11.5,13.5,13.5,11.5,,15.5,13.5,13.5,13.5,,13.5,13.5,13.5,,,,,,13.5,,,,13.5,13.5,13.5
,,,17.5,13.5,15.5,,13.5,13.5,17.5,,,15.5,11.5,,,,,17.5,11.5,,,,,,,,,,,,9.5
,13.5,13.5,13.5,13.5,13.5,13.5,,13.5,,,13.5,13.5,11.5,,,11.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,11.5,13.5,,13.5,11.5,11.5
,,,15.5,,9.5,15.5,13.5,5.5,,5.5,,13.5,,9.5,,,,9.5,,,,15.5,7.5,,,,11.5,,,5.5,7.5
,,,,13.5,13.5,,,,,,,,,,,,,,,13.5,,,,,,,,,,,13.5
,,,,,11.5,,,,,,11.5,11.5,,,,,,,,,,,11.5,9.5,,,11.5,,,,11.5
,,13.5,15.5,11.5,13.5,,,,,11.5,15.5,15.5,,,13.5,,,,,,,,,,,,15.5,,,9.5,13.5
,,,13.5,,15.5,13.5,,11.5,13.5,,13.5,13.5,,11.5,,,,11.5,,,,,15.5,,,,,,,,11.5
,,,,7.5,7.5,11.5,9.5,9.5,7.5,7.5,7.5,7.5,,,9.5,,,,11.5,,7.5,,,9.5,11.5,13.5,,11.5,,7.5,9.5
,,,15.5,9.5,13.5,,,,,,,13.5,13.5,,11.5,,,,,,,,13.5,,,,,,13.5,,13.5
,,13.5,13.5,,11.5,,,15.5,,,,,,,,,,,,,11.5,,,,,,,,,,22.0
,13.5,,13.5,13.5,,,13.5,,,,,13.5,13.5,,,,,13.5,11.5,13.5,13.5,,13.5,,13.5,,,,,,13.5
,,,,,13.5,,,,13.5,,,,11.5,,,,,,,11.5,,,,,,,,,,,11.5
,,,,,,13.5,,,,,,13.5,,,,,,,,,13.5,,,,,,,,,,11.5
,,,,15.5,,15.5,,,15.5,,,,15.5,,13.5,,,,,,,,,,,,,,,15.5,7.5
,,,,15.5,13.5,,15.5,17.5,15.5,,,13.5,15.5,,15.5,,,,,,,,,,,,,,,,9.5
,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,11.5
,,,13.5,11.5,13.5,13.5,13.5,11.5,13.5,11.5,13.5,13.5,,,9.5,,13.5,11.5,,,,,13.5,,,,,,,13.5,11.5
,,13.5,,13.5,,,,,,,,,,,13.5,,,13.5,,,,,,,,,,,,,11.5
,,15.5,15.5,,,,,,,,,15.5,15.5,,,15.5,,15.5,15.5,,,,,,,,,,,,15.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13.5,15.5,11.5,11.5,9.5,,,9.5,9.5,,9.5,7.5,9.5,,,,9.5,,11.5,,,,,,,,,,,7.5
,,,,15.5,,15.5,15.5,,15.5,15.5,,,,,15.5,15.5,,,,,,,,,,,,,,,15.5
,,13.5,15.5,15.5,15.5,,,,,,,,,,15.5,,,,,,,,,,,,,,,17.5,15.5
,15.5,13.5,15.5,,15.5,15.5,15.5,13.5,,13.5,11.5,15.5,13.5,,13.5,15.5,,15.5,15.5,15.5,13.5,,13.5,15.5,15.5,13.5,13.5,,,9.5,9.5
,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,13.5
,13.5,,,,13.5,,,,13.5,,,13.5,,,,,,,,,,,,,,,,,,11.5,11.5
,,15.5,,13.5,17.5,,,,,,,17.5,,,15.5,,,,,,,,,,,,,,,,
,13.5,,,,,,13.5,,11.5,9.5,,,,,9.5,2.0,,,,,,,,,,,,,,,
,,,,,,,15.5,,,13.5,,,13.5,13.5,,,,11.5,,13.5,,,,,,11.5,,,,,9.5
,,9.5,,11.5,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15.5,,15.5,,,,,15.5,,,13.5,,,17.5,,,15.5,,,13.5,,,,,,13.5,13.5
,,,,13.5,13.5,,13.5,,13.5,,,,,,13.5,,13.5,,,,,,,,,,,,,,13.5
,13.5,,,11.5,13.5,,,,13.5,13.5,,,,,11.5,,,,,,,,,,,,,,,,13.5
,11.5,,,11.5,11.5,,11.5,,,,,,11.5,,,,,11.5,,,,,,,,,,11.5,,,11.5
,,11.5,,,15.5,,,,,,,15.5,,,,,,,,,,,,,,,,,,,11.5
,15.5,,,15.5,15.5,15.5,,13.5,13.5,13.5,,,,,15.5,,,,,,13.5,,,,,,13.5,,,15.5,13.5
,,15.5,,,15.5,,,,15.5,,,17.5,,,,,,,,,,,,,,,,,,,13.5
,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,17.5,
,11.5,15.5,,13.5,13.5,,,,,,,15.5,,,15.5,,,,,17.5,,,15.5,,,,,,,,13.5
,15.5,9.5,5.5,5.5,5.5,15.5,9.5,17.5,9.5,9.5,11.5,9.5,7.5,7.5,5.5,13.5,7.5,,9.5,22.0,15.5,9.5,9.5,15.5,,13.5,7.5,,,5.5,9.5
,,,,11.5,,,11.5,,11.5,13.5,,,,,,,,,,,,,,,,,,,,,11.5
,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,
,,15.5,,15.5,15.5,15.5,,,13.5,,,,,,15.5,,,,,,,,,,,,,,,13.5,15.5
,,,15.5,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,15.5
,15.5,9.5,,9.5,7.5,,13.5,13.5,9.5,9.5,,,,9.5,11.5,7.5,,11.5,,17.5,13.5,,13.5,,,,,,,15.5,13.5
,,11.5,11.5,13.5,11.5,,13.5,,13.5,,11.5,11.5,11.5,13.5,,,,11.5,,13.5,13.5,,13.5,13.5,,,11.5,,,11.5,11.5
,,13.5,13.5,11.5,13.5,,,13.5,13.5,,13.5,13.5,,,,,,,,,,,,,,,11.5,,,,11.5
,,,,13.5,13.5,,,,,15.5,,,,,15.5,,,,,,15.5,,,,,,,,,,9.5
,,,,13.5,15.5,,,,13.5,,,,,,,,,,,,,,,,,,,,,,15.5
,,,,13.5,13.5,15.5,,,15.5,,,,,,17.5,,,,,,,,,,,,,,,9.5,11.5
,11.5,11.5,,11.5,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,22.0
,,11.5,,13.5,13.5,,,,13.5,11.5,,,,5.5,,9.5,,,,,,,,,,,,,15.5,,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13.5,13.5,11.5,13.5,,,,,,13.5,13.5,,13.5,,,13.5,13.5,,,,,11.5,,,,13.5,,,,13.5
,,13.5,,,13.5,,,,,,13.5,,,,,,,,13.5,,13.5,13.5,,13.5,,,,,13.5,13.5,13.5
,,28.0,,15.5,,,,,,,,,,,,15.5,,,,,,,,,,,,,,,
,13.5,,15.5,13.5,11.5,13.5,,,9.5,,13.5,13.5,,,,,,,,,,,,,,,,,,,9.5
,,7.5,13.5,11.5,,2.0,,,,,,,,,13.5,,,,,,,,,,,,,,,7.5,9.5
,,,,17.5,17.5,,,,17.5,,,,15.5,,,,,,,,,,,,,,,,,15.5,15.5
,,5.5,,7.5,9.5,13.5,11.5,13.5,13.5,11.5,,9.5,,9.5,11.5,11.5,11.5,9.5,11.5,,,,,13.5,,,13.5,,,,11.5
,,9.5,5.5,11.5,9.5,,,,15.5,,5.5,5.5,2.0,,,,13.5,,,5.5,,,,5.5,,,,,,7.5,11.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
,,13.5,,,13.5,,13.5,,13.5,,,,,13.5,,,13.5,,13.5,13.5,,,,,,,,,,,11.5
,7.5,7.5,7.5,7.5,7.5,7.5,7.5,11.5,7.5,7.5,11.5,9.5,,,7.5,7.5,,13.5,13.5,,7.5,,,7.5,,,,,7.5,7.5,7.5
,15.5,13.5,15.5,13.5,15.5,,17.5,,,,,,15.5,,15.5,,,15.5,,15.5,,,,,,,,,,,13.5
,,,,,,,,13.5,13.5,,,,,,,13.5,,,,,,,,,,,,,,,
,,11.5,13.5,13.5,13.5,,,,,,,,,,,,,17.5,,,,,,,,,13.5,,,11.5,13.5
,,,,13.5,13.5,,,,13.5,,13.5,,,,,,13.5,,,,,,,,,,,,,,11.5
,15.5,11.5,15.5,17.5,11.5,,17.5,,11.5,,15.5,15.5,,15.5,,,,,,,,,13.5,,,,15.5,,13.5,11.5,15.5
,,11.5,15.5,11.5,15.5,,,,15.5,15.5,,,,,,,,,,,,,,,,,11.5,,,15.5,15.5
,,13.5,,13.5,,,,13.5,,,,,,,,,13.5,13.5,,,,,,,,,,,,,
,,11.5,,11.5,,15.5,,,15.5,17.5,13.5,,13.5,15.5,13.5,,15.5,15.5,13.5,,11.5,,,13.5,,,,13.5,,11.5,11.5
,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,11.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,13.5
,,9.5,17.5,11.5,,11.5,,11.5,11.5,,,17.5,,,11.5,,13.5,15.5,,,,,,15.5,,,,,,9.5,13.5
,13.5,13.5,15.5,15.5,15.5,15.5,,,15.5,,,,,15.5,,,,,,,,,,,,,,,,15.5,15.5
,,,,13.5,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,
,,,13.5,15.5,15.5,,,,,,11.5,13.5,15.5,,13.5,,,,,,,,15.5,,,,,,,,7.5
,,,,,11.5,9.5,,,9.5,,9.5,9.5,,,,9.5,,,,,,,,,,,,,,,9.5
,,,13.5,13.5,13.5,,,,,,,,,,,,,13.5,,,,,,,,,,,,15.5,11.5
,,,11.5,9.5,9.5,7.5,13.5,7.5,5.5,5.5,7.5,5.5,13.5,9.5,13.5,15.5,5.5,15.5,13.5,7.5,11.5,11.5,5.5,5.5,11.5,9.5,13.5,9.5,,11.5,13.5
,,17.5,17.5,,17.5,,,,17.5,,,15.5,,,,,,,,,,,,,,,,,,15.5,13.5
,,,,13.5,11.5,,11.5,,,13.5,13.5,13.5,11.5,,,,,,,,13.5,,,11.5,,13.5,,13.5,,,11.5
,,,13.5,9.5,13.5,,,,11.5,,,,,,,,,,,,,,,,,,,,,,9.5
,,,,,,,,,11.5,,,11.5,,,,,,,,,,,,,,,,,,,22.0
,,5.5,,5.5,15.5,,,,,,15.5,,,,,,,,11.5,,,,,,,,,,,5.5,15.5
,,,13.5,9.5,13.5,15.5,15.5,15.5,,,15.5,13.5,13.5,13.5,13.5,,,13.5,13.5,,,15.5,15.5,13.5,,15.5,13.5,15.5,,13.5,11.5
,,,,,,,,,15.5,,,,,,,,,,,,,,,,,,,,,,9.5
,,,,13.5,15.5,,,,15.5,,,,,,,,,,,,,,,,,,,,,15.5,13.5
,,,,15.5,13.5,13.5,,13.5,,,,13.5,,,13.5,,,13.5,,,,,,,,,,,,,11.5
,,11.5,15.5,11.5,13.5,,,,,,,15.5,,,,15.5,,,,,,,,,,,,,,,13.5
,,13.5,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,13.5
,,,,,2.0,,,,5.5,,,,2.0,,,5.5,,,5.5,5.5,,5.5,,,,5.5,,5.5,,2.0,
,,,,9.5,13.5,9.5,11.5,9.5,,,11.5,,9.5,,,,,,,,,,,9.5,,13.5,,9.5,,,9.5
,,13.5,,13.5,13.5,,,,13.5,,,,,,,,,,,,,,,,,,,,,5.5,13.5
,,7.5,15.5,,13.5,,,,13.5,,,,,13.5,,,,13.5,,,,,,,,,13.5,,,,13.5
,15.5,15.5,,15.5,15.5,,,,15.5,,15.5,15.5,,,15.5,15.5,,,,,,,,,,,,,,15.5,
,,13.5,,13.5,13.5,,15.5,,15.5,,,,,,,,,,,,,,,,,,,,,13.5,13.5
,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,
,15.5,11.5,13.5,,15.5,,13.5,,11.5,,,11.5,,,11.5,13.5,,11.5,,13.5,11.5,,,11.5,,,,,,9.5,11.5
,,11.5,,13.5,11.5,11.5,,13.5,13.5,,,13.5,,,13.5,,,13.5,,9.5,,,,,,,,,,,28.0
,,,,15.5,,15.5,,15.5,,,,,,,,,,,,,13.5,,,,,,,,,,7.5
,,,,,,,,,,,,,,,9.5,,,15.5,,,13.5,,,,,,,,,9.5,11.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11.5,,11.5,,,,,,9.5,,9.5,,,,,,,,,,,,,,9.5,,,11.5,
,,,,,13.5,13.5,13.5,,,,,,13.5,11.5,11.5,,,,13.5,7.5,,,,,9.5,,,,13.5,,11.5
,13.5,15.5,15.5,13.5,17.5,,17.5,,,,15.5,15.5,15.5,15.5,15.5,,,15.5,,15.5,11.5,15.5,17.5,,,,15.5,15.5,,,
,,,,13.5,15.5,13.5,,,,,,13.5,,,,15.5,,,,,,,,15.5,,,,,,13.5,
,9.5,5.5,11.5,,,,,,,7.5,11.5,9.5,,,7.5,7.5,,7.5,,,11.5,11.5,,,,5.5,,,9.5,5.5,7.5
,13.5,9.5,,9.5,11.5,13.5,13.5,13.5,,,,,,,13.5,,,13.5,15.5,,,,,13.5,,13.5,,,,9.5,15.5
,15.5,,,,13.5,15.5,,15.5,13.5,15.5,13.5,15.5,,,13.5,,,,,15.5,13.5,15.5,15.5,,,,15.5,,,15.5,13.5
,,,,,13.5,,,,13.5,,,,,,,,,,,,,,,,,,,,,,11.5
,,13.5,15.5,13.5,13.5,,,,13.5,,,15.5,13.5,,13.5,,15.5,,,15.5,,,,,,,15.5,,,,13.5
,,11.5,13.5,11.5,13.5,,15.5,,11.5,,,13.5,,,,,,,,,15.5,,,,,,13.5,,,,
,,,,11.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,11.5,9.5
,13.5,11.5,,,11.5,11.5,,,,,,,,,,,,,,11.5,,,,,,,,,,11.5,22.0
,,7.5,,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,2.0,11.5
,,,13.5,,15.5,,,,13.5,,,13.5,,,15.5,,,,13.5,,,,,,,,,,,,13.5
,,,,11.5,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,9.5
,,,11.5,15.5,15.5,15.5,,,,,,,,15.5,,15.5,,15.5,,,,,15.5,,,,15.5,,,,11.5
,15.5,15.5,13.5,17.5,13.5,15.5,15.5,11.5,11.5,,15.5,17.5,,,11.5,,11.5,13.5,,,,15.5,15.5,,,,13.5,,,15.5,7.5
,,15.5,,,,17.5,,17.5,13.5,13.5,13.5,13.5,,,13.5,13.5,,,,,15.5,,17.5,,,,,,,15.5,13.5
,,11.5,,,,,,,,,,11.5,,,,,,,,,13.5,,,,,,,,,9.5,28.0
,11.5,11.5,,11.5,11.5,,,,,,,11.5,,,,11.5,,,,,,,,,,,,,,11.5,11.5
,,,,13.5,11.5,,,,11.5,,,,,,,,,,,,11.5,,,,,,,,,,13.5
,,9.5,,13.5,,,,,,,,,,,13.5,,11.5,11.5,,13.5,,,,,,,,,,9.5,11.5
,17.5,17.5,15.5,9.5,15.5,17.5,22.0,17.5,,,,22.0,,11.5,13.5,22.0,17.5,17.5,,22.0,,,,17.5,,,22.0,,,5.5,11.5
,13.5,13.5,,,11.5,13.5,,17.5,13.5,13.5,15.5,,,15.5,13.5,13.5,,15.5,,,,,,,,13.5,,,,13.5,7.5
,,,,15.5,13.5,,13.5,,,,,22.0,,,13.5,,15.5,,,,,,,,,,,,,13.5,13.5
,,,15.5,11.5,9.5,15.5,,11.5,9.5,,,,,,9.5,,,,,,,,13.5,,,,,,,7.5,15.5
,,9.5,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
,,15.5,15.5,15.5,15.5,13.5,,17.5,15.5,,17.5,17.5,,15.5,15.5,,17.5,17.5,,,,,15.5,,,,15.5,,,9.5,11.5
,,,,,,,15.5,,,17.5,,,,,15.5,,15.5,,,,,,,,,,,,,15.5,9.5
,15.5,,17.5,15.5,15.5,15.5,15.5,15.5,,15.5,17.5,15.5,,15.5,15.5,15.5,,15.5,15.5,,,15.5,17.5,,,15.5,15.5,,,15.5,13.5
,,,,9.5,11.5,11.5,15.5,13.5,13.5,,11.5,11.5,11.5,,11.5,13.5,13.5,11.5,,22.0,22.0,,15.5,,,,11.5,,,9.5,11.5
,,17.5,15.5,15.5,,,,15.5,,,,,,,,,,15.5,,,13.5,,,15.5,,,,,,,13.5
,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,11.5
,,15.5,22.0,,15.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,,13.5
,,,,13.5,11.5,,,,13.5,,,,,,,,,,,,,,,,,,,,,,11.5
,15.5,,17.5,,,,15.5,,,,,13.5,,,,,,17.5,,,,,,15.5,,,,,,13.5,13.5
,,,9.5,13.5,13.5,9.5,15.5,,,13.5,9.5,9.5,11.5,,11.5,,,9.5,15.5,15.5,,,,,,,9.5,,,9.5,9.5
,,,15.5,,,,11.5,,17.5,,,,,,15.5,,,,,,,,,,,,,,,,13.5
,,13.5,15.5,15.5,13.5,,11.5,11.5,13.5,,,13.5,,,13.5,13.5,15.5,13.5,13.5,15.5,,,,,,,,,,13.5,9.5
,,,,13.5,13.5,,,,13.5,,,,,,,,,,,,,,,,,,,,,13.5,17.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,15.5,9.5
,,,,11.5,11.5,15.5,13.5,11.5,,,,,15.5,,,,,15.5,15.5,15.5,,,,,,,,,,,13.5
,,,,22.0,22.0,22.0,22.0,22.0,17.5,22.0,22.0,22.0,22.0,,22.0,,,22.0,,,,,22.0,,,,22.0,,,,17.5
,,11.5,,9.5,17.5,,,,15.5,,,,,,,,,,,,,,,,9.5,,,,,,15.5
,15.5,,,,13.5,,11.5,,,,,15.5,,,,13.5,,,11.5,,,,,,,,,,,,
,,,,11.5,13.5,11.5,,,,,,,,,15.5,15.5,,,,,,,,11.5,,,,,,13.5,15.5
,,,,13.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
,,7.5,22.0,15.5,7.5,,,,17.5,,,17.5,13.5,,,7.5,,,,,,,,,,,,,,7.5,7.5
,15.5,13.5,15.5,15.5,15.5,,13.5,13.5,13.5,,,15.5,13.5,15.5,,,,15.5,15.5,13.5,,,,15.5,,,,,,11.5,
,17.5,15.5,17.5,11.5,11.5,7.5,,,9.5,,,13.5,,15.5,13.5,,,15.5,,,,,,,,,,,17.5,13.5,7.5
,,,17.5,,17.5,,17.5,,17.5,,,17.5,,,,,,17.5,,17.5,,,17.5,,,,,,,,13.5
,,11.5,15.5,15.5,15.5,,,,15.5,,,13.5,,,13.5,,,,,,,,,,,,15.5,,,,
,,,15.5,11.5,,,17.5,,,,,,,11.5,,,13.5,9.5,,,,,,,,,13.5,,,13.5,13.5
,,,,,17.5,,,15.5,,,,,,,13.5,17.5,,,,,,,,,,,,,,15.5,11.5
,,,,15.5,,,,15.5,15.5,,,,,,15.5,,,15.5,,,,,,,,,,,,,15.5
,,,15.5,11.5,11.5,11.5,,,,,,,,,,,,,,,,,,,,,11.5,,,,13.5
,,,17.5,17.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
,,,17.5,,17.5,17.5,,,,,17.5,17.5,,17.5,,,,,,,,,15.5,,,,,,,,13.5
,,13.5,15.5,17.5,15.5,17.5,,22.0,17.5,,,15.5,15.5,,,22.0,,15.5,,,,,15.5,17.5,,,,,,,13.5
,,15.5,,,,,,,13.5,,,,,,,,,17.5,,,,,,,,,,,,,11.5
,,,,15.5,13.5,,,15.5,9.5,,,15.5,15.5,,15.5,,,15.5,,,,,,,,,,,,15.5,13.5
,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
,,17.5,13.5,,13.5,,15.5,13.5,11.5,13.5,17.5,15.5,15.5,13.5,13.5,13.5,,13.5,15.5,,9.5,,,,,15.5,,,,15.5,11.5
,,15.5,15.5,15.5,15.5,17.5,,15.5,15.5,15.5,15.5,,,,15.5,,,17.5,17.5,,,,,17.5,,,,,,13.5,15.5
,,,13.5,13.5,,,13.5,,13.5,,,13.5,,,13.5,,,11.5,13.5,,13.5,,,13.5,,,,,,,13.5
,,,,,,13.5,,,,11.5,13.5,11.5,,,13.5,,,,,,13.5,,,,,,,,,,11.5
